date,code,market,close,volume,name
2026-01-06,1423,TWSE,38.3,45016.0,利華
2026-01-06,1432,TWSE,18.1,215166.0,大魯閣
2026-01-06,1434,TWSE,15.6,2146416.0,福懋
2026-01-06,1435,TWSE,22.1,2172.0,中福
2026-01-06,1436,TWSE,63.0,314102.0,華友聯
2026-01-06,1437,TWSE,34.15,164009.0,勤益控
2026-01-06,1438,TWSE,33.4,66345.0,三地開發
2026-01-06,1439,TWSE,29.1,31233.0,雋揚
2026-01-06,1440,TWSE,13.1,1074981.0,南紡
2026-01-06,1441,TWSE,10.25,30109.0,大東
2026-01-06,1442,TWSE,29.0,2173498.0,名軒
2026-01-06,1443,TWSE,27.35,31933.0,立益物流
2026-01-06,1444,TWSE,5.97,1289168.0,力麗
2026-01-06,1445,TWSE,12.65,110802.0,大宇
2026-01-06,1446,TWSE,18.15,130259.0,宏和
2026-01-06,1447,TWSE,5.17,1402969.0,力鵬
2026-01-06,1449,TWSE,11.1,874368.0,佳和
2026-01-06,1451,TWSE,17.2,161449.0,年興
2026-01-06,1452,TWSE,11.7,86517.0,宏益
2026-01-06,1453,TWSE,12.35,45337.0,大將
2026-01-06,1454,TWSE,12.9,37189.0,台富
2026-01-06,1455,TWSE,7.55,526460.0,集盛
2026-01-06,1456,TWSE,13.25,37712.0,怡華
2026-01-06,1457,TWSE,15.6,114995.0,宜進
2026-01-06,1459,TWSE,11.85,126435.0,聯發
2026-01-06,1460,TWSE,6.39,365708.0,宏遠
2026-01-06,1463,TWSE,17.9,539889.0,強盛新
2026-01-06,1464,TWSE,10.95,936702.0,得力
2026-01-06,1465,TWSE,12.55,13838.0,偉全
2026-01-06,1466,TWSE,13.7,184108.0,聚隆
2026-01-06,1467,TWSE,7.23,177752.0,南緯
2026-01-06,1468,TWSE,11.9,35000.0,昶和
2026-01-06,1470,TWSE,22.75,2058.0,大統新創
2026-01-06,1471,TWSE,8.73,391501.0,首利
2026-01-06,1472,TWSE,87.8,39935.0,三洋實業
2026-01-06,1473,TWSE,23.9,165945.0,台南
2026-01-06,1474,TWSE,10.6,322010.0,弘裕
2026-01-06,1475,TWSE,30.65,21253.0,業旺
2026-01-06,1476,TWSE,378.5,1351238.0,儒鴻
2026-01-06,1477,TWSE,287.0,1349053.0,聚陽
2026-01-06,1503,TWSE,168.0,1101546.0,士電
2026-01-06,1504,TWSE,83.7,10893609.0,東元
2026-01-06,1506,TWSE,11.6,84086.0,正道
2026-01-06,1512,TWSE,7.44,137085.0,瑞利
2026-01-06,1513,TWSE,147.0,2329925.0,中興電
2026-01-06,1514,TWSE,96.9,1712023.0,亞力
2026-01-06,1515,TWSE,26.75,620756.0,力山
2026-01-06,1516,TWSE,21.8,105798.0,川飛
2026-01-06,1517,TWSE,10.65,464668.0,利奇
2026-01-06,1519,TWSE,737.0,1835459.0,華城
2026-01-06,1521,TWSE,23.5,47340.0,大億
2026-01-06,1522,TWSE,44.95,1186918.0,堤維西
2026-01-06,1524,TWSE,27.45,876648.0,耿鼎
2026-01-06,1525,TWSE,62.9,13700.0,江申
2026-01-06,1526,TWSE,16.8,35155.0,日馳
2026-01-06,1527,TWSE,32.55,274799.0,鑽全
2026-01-06,1528,TWSE,21.8,8977564.0,恩德
2026-01-06,1529,TWSE,18.7,357099.0,樂事綠能
2026-01-06,1530,TWSE,27.25,22331.0,亞崴
2026-01-06,1531,TWSE,11.9,56631.0,高林股
2026-01-06,1532,TWSE,25.8,897490.0,勤美
2026-01-06,1533,TWSE,34.55,936709.0,車王電
2026-01-06,1535,TWSE,52.9,28046.0,中宇
2026-01-06,1536,TWSE,56.7,2192328.0,和大
2026-01-06,1537,TWSE,122.5,146691.0,廣隆
2026-01-06,1538,TWSE,26.0,3875.0,正峰
2026-01-06,1539,TWSE,17.2,65825.0,巨庭
2026-01-06,1540,TWSE,22.75,410692.0,喬福
2026-01-06,1541,TWSE,22.95,18751.0,錩泰
2026-01-06,1558,TWSE,103.5,182155.0,伸興
2026-01-06,1560,TWSE,422.5,6246327.0,中砂
2026-01-06,1563,TWSE,47.75,606873.0,巧新
2026-01-06,1568,TWSE,22.4,100456.0,倉佑
2026-01-06,1582,TWSE,64.6,1012708.0,信錦
2026-01-06,1583,TWSE,44.5,2000.0,程泰
2026-01-06,1587,TWSE,53.0,3064686.0,吉茂
2026-01-06,1589,TWSE,16.65,1680633.0,永冠-KY
2026-01-06,1590,TWSE,962.0,254746.0,亞德客-KY
2026-01-06,1597,TWSE,71.9,261525.0,直得
2026-01-06,1598,TWSE,20.25,308763.0,岱宇
2026-01-06,1603,TWSE,36.8,478003.0,華電
2026-01-06,1604,TWSE,24.1,487215.0,聲寶
2026-01-06,1605,TWSE,33.6,152715387.0,華新
2026-01-06,1608,TWSE,37.6,6603495.0,華榮
2026-01-06,1609,TWSE,38.2,3015720.0,大亞
2026-01-06,1611,TWSE,12.8,726457.0,中電
2026-01-06,1612,TWSE,34.1,796682.0,宏泰
2026-01-06,1614,TWSE,34.15,14035.0,三洋電
2026-01-06,1615,TWSE,49.45,130728.0,大山
2026-01-06,1616,TWSE,28.35,888262.0,億泰
2026-01-06,1617,TWSE,14.5,141743.0,榮星
2026-01-06,1618,TWSE,42.25,513309.0,合機
2026-01-06,1626,TWSE,10.95,76825.0,艾美特-KY
2026-01-06,1702,TWSE,38.7,238743.0,南僑
2026-01-06,1707,TWSE,127.0,151368.0,葡萄王
2026-01-06,1708,TWSE,31.9,691220.0,東鹼
2026-01-06,1709,TWSE,16.6,783792.0,和益
2026-01-06,1710,TWSE,12.05,1499498.0,東聯
2026-01-06,1711,TWSE,20.65,32889311.0,永光
2026-01-06,1712,TWSE,44.2,414840.0,興農
2026-01-06,1713,TWSE,44.65,201513.0,國化
2026-01-06,1714,TWSE,7.98,2261458.0,和桐
2026-01-06,1717,TWSE,46.1,33489271.0,長興
2026-01-06,1718,TWSE,6.69,3832997.0,中纖
2026-01-06,1720,TWSE,59.3,295124.0,生達
2026-01-06,1721,TWSE,15.65,4392014.0,三晃
2026-01-06,1722,TWSE,47.5,1394690.0,台肥
2026-01-06,1723,TWSE,66.4,643584.0,中碳
2026-01-06,1725,TWSE,29.9,517680.0,元禎
2026-01-06,1726,TWSE,75.8,4434.0,永記
2026-01-06,1727,TWSE,48.15,25139308.0,中華化
2026-01-06,1730,TWSE,52.7,37185.0,花仙子
2026-01-06,1731,TWSE,21.8,89479.0,美吾華
2026-01-06,1732,TWSE,27.7,171661.0,毛寶
2026-01-06,1733,TWSE,29.9,314622.0,五鼎
2026-01-06,1734,TWSE,30.2,296513.0,杏輝
2026-01-06,1735,TWSE,18.4,471872.0,日勝化
2026-01-06,1736,TWSE,147.5,487255.0,喬山
2026-01-06,1737,TWSE,31.45,162919.0,臺鹽
2026-01-06,1752,TWSE,37.05,78230.0,南光
2026-01-06,1760,TWSE,62.2,175442.0,寶齡富錦
2026-01-06,1762,TWSE,24.8,154325.0,中化生
2026-01-06,1773,TWSE,152.5,3569841.0,勝一
2026-01-06,1776,TWSE,15.65,90500.0,展宇
2026-01-06,1783,TWSE,42.5,90622.0,和康生
2026-01-06,1786,TWSE,72.0,500933.0,科妍
2026-01-06,1789,TWSE,17.1,971549.0,神隆
2026-01-06,1795,TWSE,278.0,2376867.0,美時
2026-01-06,1802,TWSE,33.8,47008397.0,台玻
2026-01-06,1805,TWSE,11.9,121397.0,寶徠
2026-01-06,1806,TWSE,8.74,1829739.0,冠軍
2026-01-06,1808,TWSE,33.25,5090611.0,潤隆
2026-01-06,1809,TWSE,17.65,763881.0,中釉
2026-01-06,1810,TWSE,17.3,1498520.0,和成
2026-01-06,1817,TWSE,38.25,28474.0,凱撒衛
2026-01-06,1903,TWSE,53.3,245859.0,士紙
2026-01-06,1904,TWSE,17.0,1877298.0,正隆
2026-01-06,1905,TWSE,11.3,2483417.0,華紙
2026-01-06,1906,TWSE,11.7,51800.0,寶隆
2026-01-06,1907,TWSE,26.1,2407159.0,永豐餘
2026-01-06,1909,TWSE,9.56,2803285.0,榮成
2026-01-06,2002,TWSE,18.6,37619279.0,中鋼
2026-01-06,2002A,TWSE,39.0,24106.0,中鋼特
2026-01-06,2006,TWSE,64.6,1742921.0,東和鋼鐵
2026-01-06,2007,TWSE,7.5,463979.0,燁興
